instance001.gr: cost: 2324.00, avg_time: 27.14 ms, avg-memory: 7623.70 KB, runs: 1000
instance002.gr: cost: 16589.00, avg_time: 33.38 ms, avg-memory: 10305.77 KB, runs: 1000
instance003.gr: cost: 19397.00, avg_time: 43.22 ms, avg-memory: 10422.06 KB, runs: 1000
instance004.gr: cost: 25623.00, avg_time: 103.54 ms, avg-memory: 16543.11 KB, runs: 483
instance005.gr: cost: 23681.00, avg_time: 48.41 ms, avg-memory: 10421.13 KB, runs: 796
instance006.gr: cost: 30320.00, avg_time: 126.09 ms, avg-memory: 17409.57 KB, runs: 299
instance007.gr: cost: 49920.00, avg_time: 341.36 ms, avg-memory: 30655.61 KB, runs: 133
instance008.gr: cost: 22492.00, avg_time: 54.68 ms, avg-memory: 10422.92 KB, runs: 915
instance009.gr: cost: 16370975.00, avg_time: 27.65 ms, avg-memory: 5979.70 KB, runs: 1000
instance010.gr: cost: 13719204.00, avg_time: 19.59 ms, avg-memory: 4960.90 KB, runs: 1000
instance011.gr: cost: 34820.00, avg_time: 146.66 ms, avg-memory: 18658.38 KB, runs: 338
instance012.gr: cost: 54830.00, avg_time: 447.21 ms, avg-memory: 34901.32 KB, runs: 106
instance013.gr: cost: 9090.00, avg_time: 17.99 ms, avg-memory: 3809.76 KB, runs: 1000
instance014.gr: cost: 91.00, avg_time: 21.74 ms, avg-memory: 4169.59 KB, runs: 1000
instance015.gr: cost: 181.00, avg_time: 21.08 ms, avg-memory: 4177.84 KB, runs: 1000
instance016.gr: cost: 14592329.00, avg_time: 24.85 ms, avg-memory: 4704.88 KB, runs: 1000
instance017.gr: cost: 18511.00, avg_time: 34.71 ms, avg-memory: 5931.32 KB, runs: 1000
instance018.gr: cost: 42877.00, avg_time: 182.84 ms, avg-memory: 19500.69 KB, runs: 273
instance019.gr: cost: 61223.00, avg_time: 555.61 ms, avg-memory: 36031.50 KB, runs: 88
instance020.gr: cost: 11500427.00, avg_time: 16.55 ms, avg-memory: 3931.96 KB, runs: 1000
instance021.gr: cost: 114.00, avg_time: 27.65 ms, avg-memory: 4414.04 KB, runs: 1000
instance022.gr: cost: 23133.00, avg_time: 35.36 ms, avg-memory: 4415.12 KB, runs: 1000
instance023.gr: cost: 223.00, avg_time: 28.44 ms, avg-memory: 4417.14 KB, runs: 1000
instance024.gr: cost: 11100596.00, avg_time: 15.57 ms, avg-memory: 3808.87 KB, runs: 1000
instance025.gr: cost: 123.00, avg_time: 14.71 ms, avg-memory: 3793.59 KB, runs: 1000
instance026.gr: cost: 24696.00, avg_time: 16.86 ms, avg-memory: 3796.23 KB, runs: 1000
instance027.gr: cost: 10200806.00, avg_time: 23.41 ms, avg-memory: 4581.33 KB, runs: 1000
instance028.gr: cost: 11200784.00, avg_time: 28.14 ms, avg-memory: 5086.00 KB, runs: 1000
instance029.gr: cost: 9400684.00, avg_time: 18.17 ms, avg-memory: 4058.82 KB, runs: 1000
instance030.gr: cost: 4158.00, avg_time: 97.69 ms, avg-memory: 12700.02 KB, runs: 512
instance031.gr: cost: 134.00, avg_time: 37.64 ms, avg-memory: 4803.39 KB, runs: 1000
instance032.gr: cost: 27728.00, avg_time: 50.92 ms, avg-memory: 4796.23 KB, runs: 941
instance033.gr: cost: 267.00, avg_time: 38.42 ms, avg-memory: 4797.88 KB, runs: 1000
instance034.gr: cost: 13700484.00, avg_time: 16.63 ms, avg-memory: 3923.05 KB, runs: 1000
instance035.gr: cost: 11900829.00, avg_time: 24.61 ms, avg-memory: 4573.88 KB, runs: 1000
instance036.gr: cost: 26745.00, avg_time: 22.07 ms, avg-memory: 3933.82 KB, runs: 1000
instance037.gr: cost: 13400811.00, avg_time: 29.98 ms, avg-memory: 4951.82 KB, runs: 1000
instance038.gr: cost: 11300385.00, avg_time: 17.91 ms, avg-memory: 3935.28 KB, runs: 1000
instance039.gr: cost: 26133.00, avg_time: 14.26 ms, avg-memory: 3664.90 KB, runs: 1000
instance040.gr: cost: 26280.00, avg_time: 14.30 ms, avg-memory: 3672.95 KB, runs: 1000
instance041.gr: cost: 23831.00, avg_time: 15.76 ms, avg-memory: 3668.71 KB, runs: 1000
instance042.gr: cost: 23721.00, avg_time: 15.73 ms, avg-memory: 3675.20 KB, runs: 1000
instance043.gr: cost: 12700670.00, avg_time: 23.17 ms, avg-memory: 4432.65 KB, runs: 1000
instance044.gr: cost: 23050.00, avg_time: 23.61 ms, avg-memory: 3779.54 KB, runs: 1000
instance045.gr: cost: 23061.00, avg_time: 23.48 ms, avg-memory: 3784.08 KB, runs: 1000
instance046.gr: cost: 22733.00, avg_time: 57.54 ms, avg-memory: 4656.57 KB, runs: 849
instance047.gr: cost: 22756.00, avg_time: 58.06 ms, avg-memory: 4655.58 KB, runs: 857
instance048.gr: cost: 34710.00, avg_time: 95.10 ms, avg-memory: 10484.14 KB, runs: 519
instance049.gr: cost: 14200715.00, avg_time: 37.21 ms, avg-memory: 5468.31 KB, runs: 1000
instance050.gr: cost: 13100843.00, avg_time: 30.71 ms, avg-memory: 4958.47 KB, runs: 1000
instance051.gr: cost: 11800558.00, avg_time: 15.32 ms, avg-memory: 3795.30 KB, runs: 1000
instance052.gr: cost: 136000596.00, avg_time: 23.22 ms, avg-memory: 4318.31 KB, runs: 1000
instance053.gr: cost: 157000536.00, avg_time: 17.06 ms, avg-memory: 3927.17 KB, runs: 1000
instance054.gr: cost: 5454111.00, avg_time: 1415.75 ms, avg-memory: 72278.00 KB, runs: 34
instance055.gr: cost: 144000594.00, avg_time: 23.70 ms, avg-memory: 4316.30 KB, runs: 1000
instance056.gr: cost: 145000599.00, avg_time: 27.30 ms, avg-memory: 4573.95 KB, runs: 1000
instance057.gr: cost: 153000910.00, avg_time: 29.04 ms, avg-memory: 4742.46 KB, runs: 1000
instance059.gr: cost: 153000920.00, avg_time: 34.17 ms, avg-memory: 5102.19 KB, runs: 1000
instance060.gr: cost: 2514083.00, avg_time: 799.76 ms, avg-memory: 40734.39 KB, runs: 62
instance061.gr: cost: 166000814.00, avg_time: 32.15 ms, avg-memory: 4953.78 KB, runs: 1000
instance062.gr: cost: 171000821.00, avg_time: 31.03 ms, avg-memory: 4826.93 KB, runs: 1000
instance063.gr: cost: 10964.00, avg_time: 150.90 ms, avg-memory: 11530.69 KB, runs: 332
instance064.gr: cost: 3987741.00, avg_time: 1477.22 ms, avg-memory: 63176.71 KB, runs: 34
instance065.gr: cost: 4544.00, avg_time: 122.67 ms, avg-memory: 12022.44 KB, runs: 408
instance066.gr: cost: 59812.00, avg_time: 360.84 ms, avg-memory: 19878.15 KB, runs: 123
instance067.gr: cost: 31209414.00, avg_time: 61.03 ms, avg-memory: 5721.21 KB, runs: 817
instance068.gr: cost: 217.00, avg_time: 25.44 ms, avg-memory: 4297.71 KB, runs: 1000
instance069.gr: cost: 47661.00, avg_time: 33.78 ms, avg-memory: 4296.56 KB, runs: 1000
instance070.gr: cost: 479.00, avg_time: 25.98 ms, avg-memory: 4302.71 KB, runs: 1000
instance071.gr: cost: 52759.00, avg_time: 24.25 ms, avg-memory: 4014.66 KB, runs: 1000
instance072.gr: cost: 54132.00, avg_time: 24.07 ms, avg-memory: 4017.34 KB, runs: 1000
instance073.gr: cost: 48167.00, avg_time: 28.80 ms, avg-memory: 4026.41 KB, runs: 1000
