instance001.gr: cost: 8383.00, avg_time: 10.25 ms, avg-memory: 5955.96 KB, runs: 1000
instance002.gr: cost: 28894.00, avg_time: 13.25 ms, avg-memory: 6634.86 KB, runs: 1000
instance003.gr: cost: 37033.00, avg_time: 13.38 ms, avg-memory: 6696.64 KB, runs: 1000
instance004.gr: cost: 56622.00, avg_time: 27.02 ms, avg-memory: 11714.08 KB, runs: 1000
instance005.gr: cost: 49203.00, avg_time: 13.26 ms, avg-memory: 6718.90 KB, runs: 1000
instance006.gr: cost: 70574.00, avg_time: 27.02 ms, avg-memory: 11713.46 KB, runs: 1000
instance007.gr: cost: 93916.00, avg_time: 53.68 ms, avg-memory: 20669.67 KB, runs: 925
instance008.gr: cost: 35777.00, avg_time: 13.33 ms, avg-memory: 6716.79 KB, runs: 1000
instance009.gr: cost: 19628764.00, avg_time: 8.33 ms, avg-memory: 4825.22 KB, runs: 1000
instance010.gr: cost: 15833273.00, avg_time: 6.92 ms, avg-memory: 4184.35 KB, runs: 1000
instance011.gr: cost: 70319.00, avg_time: 27.07 ms, avg-memory: 11748.26 KB, runs: 1000
instance012.gr: cost: 124913.00, avg_time: 53.75 ms, avg-memory: 20669.42 KB, runs: 931
instance013.gr: cost: 9191.00, avg_time: 6.53 ms, avg-memory: 3416.51 KB, runs: 1000
instance014.gr: cost: 154.00, avg_time: 8.82 ms, avg-memory: 3653.66 KB, runs: 1000
instance015.gr: cost: 199.00, avg_time: 8.88 ms, avg-memory: 3652.86 KB, runs: 1000
instance016.gr: cost: 16498724.00, avg_time: 6.61 ms, avg-memory: 3930.50 KB, runs: 1000
instance017.gr: cost: 32866.00, avg_time: 8.55 ms, avg-memory: 4825.29 KB, runs: 1000
instance018.gr: cost: 92243.00, avg_time: 27.17 ms, avg-memory: 11831.78 KB, runs: 1000
instance019.gr: cost: 133862.00, avg_time: 53.96 ms, avg-memory: 20668.43 KB, runs: 911
instance020.gr: cost: 6001324.00, avg_time: 5.63 ms, avg-memory: 3415.85 KB, runs: 1000
instance021.gr: cost: 185.00, avg_time: 10.51 ms, avg-memory: 3903.05 KB, runs: 1000
