instance001.gr: cost: 2324.00, avg_time: 15.38 ms, avg-memory: 7543.85 KB, runs: 1000
instance002.gr: cost: 16589.00, avg_time: 16.88 ms, avg-memory: 10319.31 KB, runs: 1000
instance003.gr: cost: 19397.00, avg_time: 19.14 ms, avg-memory: 10443.46 KB, runs: 1000
instance004.gr: cost: 25623.00, avg_time: 43.74 ms, avg-memory: 18677.29 KB, runs: 1000
instance005.gr: cost: 23681.00, avg_time: 20.31 ms, avg-memory: 10450.31 KB, runs: 1000
instance006.gr: cost: 30320.00, avg_time: 44.39 ms, avg-memory: 19359.12 KB, runs: 1000
instance007.gr: cost: 49920.00, avg_time: 119.13 ms, avg-memory: 35955.23 KB, runs: 416
instance008.gr: cost: 22492.00, avg_time: 21.77 ms, avg-memory: 10449.36 KB, runs: 1000
instance009.gr: cost: 16370975.00, avg_time: 14.76 ms, avg-memory: 5892.31 KB, runs: 1000
instance010.gr: cost: 13719204.00, avg_time: 11.74 ms, avg-memory: 4973.49 KB, runs: 1000
instance011.gr: cost: 34820.00, avg_time: 52.33 ms, avg-memory: 19388.45 KB, runs: 956
instance012.gr: cost: 54830.00, avg_time: 134.52 ms, avg-memory: 35942.10 KB, runs: 366
instance013.gr: cost: 9090.00, avg_time: 9.51 ms, avg-memory: 3819.63 KB, runs: 1000
instance014.gr: cost: 91.00, avg_time: 12.73 ms, avg-memory: 4081.08 KB, runs: 1000
instance015.gr: cost: 181.00, avg_time: 12.11 ms, avg-memory: 4074.27 KB, runs: 1000
instance016.gr: cost: 14592329.00, avg_time: 11.06 ms, avg-memory: 4714.48 KB, runs: 1000
instance017.gr: cost: 18511.00, avg_time: 14.04 ms, avg-memory: 5876.81 KB, runs: 1000
instance018.gr: cost: 42877.00, avg_time: 58.48 ms, avg-memory: 19518.12 KB, runs: 854
instance019.gr: cost: 61223.00, avg_time: 161.05 ms, avg-memory: 36052.69 KB, runs: 311
instance020.gr: cost: 11500427.00, avg_time: 9.68 ms, avg-memory: 3946.30 KB, runs: 1000
instance021.gr: cost: 112.00, avg_time: 15.75 ms, avg-memory: 4416.46 KB, runs: 1000
instance022.gr: cost: 23334.00, avg_time: 17.99 ms, avg-memory: 4419.00 KB, runs: 1000
instance023.gr: cost: 225.00, avg_time: 15.40 ms, avg-memory: 4426.57 KB, runs: 1000
instance024.gr: cost: 11100596.00, avg_time: 8.07 ms, avg-memory: 3817.32 KB, runs: 1000
instance025.gr: cost: 123.00, avg_time: 9.23 ms, avg-memory: 3806.11 KB, runs: 1000
instance026.gr: cost: 24696.00, avg_time: 9.68 ms, avg-memory: 3805.92 KB, runs: 1000
instance027.gr: cost: 10200806.00, avg_time: 11.41 ms, avg-memory: 4592.68 KB, runs: 1000
instance028.gr: cost: 11200784.00, avg_time: 12.26 ms, avg-memory: 5098.94 KB, runs: 1000
instance029.gr: cost: 9400684.00, avg_time: 8.12 ms, avg-memory: 4068.02 KB, runs: 1000
instance030.gr: cost: 4158.00, avg_time: 32.62 ms, avg-memory: 12747.33 KB, runs: 1000
instance031.gr: cost: 134.00, avg_time: 19.62 ms, avg-memory: 4805.43 KB, runs: 1000
instance032.gr: cost: 27728.00, avg_time: 22.70 ms, avg-memory: 4805.31 KB, runs: 1000
instance033.gr: cost: 267.00, avg_time: 20.98 ms, avg-memory: 4807.23 KB, runs: 1000
instance034.gr: cost: 13700484.00, avg_time: 7.77 ms, avg-memory: 3944.34 KB, runs: 1000
instance035.gr: cost: 12000829.00, avg_time: 12.25 ms, avg-memory: 4572.47 KB, runs: 1000
instance036.gr: cost: 26745.00, avg_time: 10.87 ms, avg-memory: 3938.76 KB, runs: 1000
instance037.gr: cost: 13400811.00, avg_time: 13.35 ms, avg-memory: 4958.18 KB, runs: 1000
instance038.gr: cost: 11300387.00, avg_time: 9.05 ms, avg-memory: 3948.28 KB, runs: 1000
instance039.gr: cost: 26133.00, avg_time: 7.43 ms, avg-memory: 3680.62 KB, runs: 1000
instance040.gr: cost: 26280.00, avg_time: 7.39 ms, avg-memory: 3681.20 KB, runs: 1000
instance041.gr: cost: 23831.00, avg_time: 8.73 ms, avg-memory: 3673.14 KB, runs: 1000
instance042.gr: cost: 23721.00, avg_time: 7.74 ms, avg-memory: 3683.27 KB, runs: 1000
instance043.gr: cost: 12600670.00, avg_time: 11.01 ms, avg-memory: 4443.26 KB, runs: 1000
instance044.gr: cost: 23050.00, avg_time: 12.76 ms, avg-memory: 3803.90 KB, runs: 1000
instance045.gr: cost: 23061.00, avg_time: 12.73 ms, avg-memory: 3801.54 KB, runs: 1000
instance046.gr: cost: 22733.00, avg_time: 29.13 ms, avg-memory: 4671.45 KB, runs: 1000
instance047.gr: cost: 22756.00, avg_time: 30.36 ms, avg-memory: 4665.18 KB, runs: 1000
instance048.gr: cost: 34710.00, avg_time: 29.86 ms, avg-memory: 10444.29 KB, runs: 1000
instance049.gr: cost: 14200715.00, avg_time: 14.71 ms, avg-memory: 5487.77 KB, runs: 1000
