instance001.gr: cost: 2292.00, avg_time: 18.17 ms, avg-memory: 6105.62 KB, runs: 1000
instance002.gr: cost: 16072.00, avg_time: 24.54 ms, avg-memory: 6723.60 KB, runs: 1000
instance003.gr: cost: 19157.00, avg_time: 31.59 ms, avg-memory: 6722.73 KB, runs: 1000
instance004.gr: cost: 24511.00, avg_time: 85.25 ms, avg-memory: 12090.17 KB, runs: 499
instance005.gr: cost: 22870.00, avg_time: 37.07 ms, avg-memory: 6721.72 KB, runs: 1000
instance006.gr: cost: 28889.00, avg_time: 105.83 ms, avg-memory: 12090.35 KB, runs: 415
instance007.gr: cost: 48238.00, avg_time: 319.35 ms, avg-memory: 21301.25 KB, runs: 150
instance008.gr: cost: 21698.00, avg_time: 41.88 ms, avg-memory: 6721.42 KB, runs: 686
instance009.gr: cost: 15893670.00, avg_time: 25.71 ms, avg-memory: 4924.98 KB, runs: 1000
instance010.gr: cost: 13337443.00, avg_time: 16.91 ms, avg-memory: 4186.24 KB, runs: 1000
instance011.gr: cost: 34246.00, avg_time: 131.58 ms, avg-memory: 12087.90 KB, runs: 343
instance012.gr: cost: 52741.00, avg_time: 415.67 ms, avg-memory: 21298.17 KB, runs: 116
instance013.gr: cost: 6330.00, avg_time: 11.98 ms, avg-memory: 3414.18 KB, runs: 1000
instance014.gr: cost: 85.00, avg_time: 14.34 ms, avg-memory: 3649.06 KB, runs: 1000
instance015.gr: cost: 138.00, avg_time: 15.14 ms, avg-memory: 3647.32 KB, runs: 1000
instance016.gr: cost: 14183312.00, avg_time: 17.84 ms, avg-memory: 4054.88 KB, runs: 1000
instance017.gr: cost: 18249.00, avg_time: 26.36 ms, avg-memory: 4825.06 KB, runs: 1000
instance018.gr: cost: 41616.00, avg_time: 168.93 ms, avg-memory: 12085.83 KB, runs: 282
instance019.gr: cost: 58770.00, avg_time: 538.45 ms, avg-memory: 21284.58 KB, runs: 89
instance020.gr: cost: 6001176.00, avg_time: 10.14 ms, avg-memory: 3415.14 KB, runs: 1000
instance021.gr: cost: 101.00, avg_time: 21.08 ms, avg-memory: 3906.15 KB, runs: 1000
instance022.gr: cost: 17022.00, avg_time: 29.80 ms, avg-memory: 3902.18 KB, runs: 1000
instance023.gr: cost: 166.00, avg_time: 21.87 ms, avg-memory: 3903.91 KB, runs: 1000
instance024.gr: cost: 6201049.00, avg_time: 8.91 ms, avg-memory: 3423.16 KB, runs: 1000
instance025.gr: cost: 111.00, avg_time: 7.78 ms, avg-memory: 3292.98 KB, runs: 1000
instance026.gr: cost: 19409.00, avg_time: 10.05 ms, avg-memory: 3288.42 KB, runs: 1000
instance027.gr: cost: 6400995.00, avg_time: 16.90 ms, avg-memory: 3929.88 KB, runs: 1000
instance028.gr: cost: 6600988.00, avg_time: 22.26 ms, avg-memory: 4311.69 KB, runs: 1000
instance029.gr: cost: 6700822.00, avg_time: 11.63 ms, avg-memory: 3551.48 KB, runs: 1000
instance030.gr: cost: 4048.00, avg_time: 82.36 ms, avg-memory: 8379.63 KB, runs: 479
instance031.gr: cost: 121.00, avg_time: 31.46 ms, avg-memory: 4162.12 KB, runs: 1000
instance032.gr: cost: 20234.00, avg_time: 45.28 ms, avg-memory: 4156.35 KB, runs: 811
instance033.gr: cost: 206.00, avg_time: 32.63 ms, avg-memory: 4155.61 KB, runs: 1000
instance034.gr: cost: 7501062.00, avg_time: 9.75 ms, avg-memory: 3417.76 KB, runs: 1000
instance035.gr: cost: 7601092.00, avg_time: 18.49 ms, avg-memory: 3931.25 KB, runs: 1000
instance036.gr: cost: 23097.00, avg_time: 14.13 ms, avg-memory: 3414.41 KB, runs: 1000
instance037.gr: cost: 7801228.00, avg_time: 22.94 ms, avg-memory: 4184.48 KB, runs: 1000
instance038.gr: cost: 7900498.00, avg_time: 10.91 ms, avg-memory: 3418.18 KB, runs: 1000
instance039.gr: cost: 24778.00, avg_time: 7.28 ms, avg-memory: 3163.14 KB, runs: 1000
instance040.gr: cost: 24310.00, avg_time: 7.34 ms, avg-memory: 3163.80 KB, runs: 1000
instance041.gr: cost: 23662.00, avg_time: 8.79 ms, avg-memory: 3199.81 KB, runs: 1000
instance042.gr: cost: 23721.00, avg_time: 8.74 ms, avg-memory: 3199.29 KB, runs: 1000
instance043.gr: cost: 8000920.00, avg_time: 16.57 ms, avg-memory: 3801.89 KB, runs: 1000
instance044.gr: cost: 23050.00, avg_time: 16.22 ms, avg-memory: 3386.90 KB, runs: 1000
instance045.gr: cost: 23061.00, avg_time: 16.39 ms, avg-memory: 3388.11 KB, runs: 1000
instance046.gr: cost: 22733.00, avg_time: 50.04 ms, avg-memory: 4285.81 KB, runs: 841
