instance001.gr: cost: 1420.00, avg_time: 3.81 ms, avg-memory: 3040.92 KB, runs: 1000
instance002.gr: cost: 666.00, avg_time: 3.97 ms, avg-memory: 3171.94 KB, runs: 1000
instance003.gr: cost: 49650.00, avg_time: 3.96 ms, avg-memory: 3047.50 KB, runs: 1000
instance004.gr: cost: 68400.00, avg_time: 4.01 ms, avg-memory: 3042.73 KB, runs: 1000
instance005.gr: cost: 814118107.00, avg_time: 4.12 ms, avg-memory: 3170.75 KB, runs: 1000
instance006.gr: cost: 131259.00, avg_time: 4.01 ms, avg-memory: 3169.81 KB, runs: 1000
instance007.gr: cost: 22152.00, avg_time: 4.00 ms, avg-memory: 3172.82 KB, runs: 1000
instance008.gr: cost: 23359.00, avg_time: 4.00 ms, avg-memory: 3166.26 KB, runs: 1000
instance009.gr: cost: 83250257.00, avg_time: 4.10 ms, avg-memory: 3171.47 KB, runs: 1000
instance010.gr: cost: 23360.00, avg_time: 4.13 ms, avg-memory: 3171.97 KB, runs: 1000
instance011.gr: cost: 23147.00, avg_time: 4.10 ms, avg-memory: 3167.78 KB, runs: 1000
instance012.gr: cost: 98775.00, avg_time: 4.47 ms, avg-memory: 3297.23 KB, runs: 1000
instance013.gr: cost: 596752.00, avg_time: 5.90 ms, avg-memory: 3939.77 KB, runs: 1000
instance014.gr: cost: 367792.00, avg_time: 7.21 ms, avg-memory: 4688.49 KB, runs: 1000
instance015.gr: cost: 1740.00, avg_time: 3.86 ms, avg-memory: 3082.58 KB, runs: 1000
instance016.gr: cost: 108055.00, avg_time: 3.93 ms, avg-memory: 3172.48 KB, runs: 1000
instance017.gr: cost: 78193710.00, avg_time: 4.00 ms, avg-memory: 3170.92 KB, runs: 1000
instance018.gr: cost: 60125.00, avg_time: 4.07 ms, avg-memory: 3166.79 KB, runs: 1000
instance019.gr: cost: 76764612.00, avg_time: 4.12 ms, avg-memory: 3175.90 KB, runs: 1000
instance020.gr: cost: 85108454.00, avg_time: 4.09 ms, avg-memory: 3169.24 KB, runs: 1000
instance021.gr: cost: 93830.00, avg_time: 4.18 ms, avg-memory: 3172.96 KB, runs: 1000
instance022.gr: cost: 11674149.00, avg_time: 4.66 ms, avg-memory: 3429.82 KB, runs: 1000
instance023.gr: cost: 3673793.00, avg_time: 4.94 ms, avg-memory: 3556.40 KB, runs: 1000
instance024.gr: cost: 259019.00, avg_time: 5.47 ms, avg-memory: 3814.56 KB, runs: 1000
instance025.gr: cost: 22775450.00, avg_time: 11.84 ms, avg-memory: 6859.58 KB, runs: 1000
instance026.gr: cost: 8901725.00, avg_time: 16.79 ms, avg-memory: 9288.81 KB, runs: 1000
instance027.gr: cost: 14.00, avg_time: 4.00 ms, avg-memory: 3044.91 KB, runs: 1000
instance028.gr: cost: 33775.00, avg_time: 4.10 ms, avg-memory: 3170.05 KB, runs: 1000
instance029.gr: cost: 21581.00, avg_time: 4.01 ms, avg-memory: 3170.84 KB, runs: 1000
instance030.gr: cost: 15488.00, avg_time: 4.05 ms, avg-memory: 3167.81 KB, runs: 1000
instance031.gr: cost: 1393.00, avg_time: 4.12 ms, avg-memory: 3167.48 KB, runs: 1000
instance032.gr: cost: 69910.00, avg_time: 4.09 ms, avg-memory: 3173.59 KB, runs: 1000
instance033.gr: cost: 32018.00, avg_time: 4.35 ms, avg-memory: 3296.52 KB, runs: 1000
instance034.gr: cost: 2512.00, avg_time: 4.39 ms, avg-memory: 3301.60 KB, runs: 1000
instance035.gr: cost: 124082282.00, avg_time: 4.44 ms, avg-memory: 3296.61 KB, runs: 1000
instance036.gr: cost: 127942180.00, avg_time: 4.62 ms, avg-memory: 3302.24 KB, runs: 1000
instance037.gr: cost: 173765169.00, avg_time: 5.26 ms, avg-memory: 3554.54 KB, runs: 1000
instance038.gr: cost: 2397855.00, avg_time: 5.68 ms, avg-memory: 3812.02 KB, runs: 1000
instance039.gr: cost: 53966.00, avg_time: 5.88 ms, avg-memory: 3940.85 KB, runs: 1000
instance040.gr: cost: 22869615.00, avg_time: 6.02 ms, avg-memory: 3937.07 KB, runs: 1000
instance041.gr: cost: 301238.00, avg_time: 6.29 ms, avg-memory: 4198.26 KB, runs: 1000
instance042.gr: cost: 535273.00, avg_time: 9.95 ms, avg-memory: 6243.98 KB, runs: 1000
instance043.gr: cost: 2500828.00, avg_time: 4.16 ms, avg-memory: 3174.45 KB, runs: 1000
instance044.gr: cost: 2400901.00, avg_time: 4.16 ms, avg-memory: 3173.62 KB, runs: 1000
instance045.gr: cost: 28984.00, avg_time: 4.33 ms, avg-memory: 3172.20 KB, runs: 1000
instance046.gr: cost: 30075.00, avg_time: 4.29 ms, avg-memory: 3299.50 KB, runs: 1000
instance047.gr: cost: 123707936.00, avg_time: 4.44 ms, avg-memory: 3301.63 KB, runs: 1000
instance048.gr: cost: 132696403.00, avg_time: 4.49 ms, avg-memory: 3300.00 KB, runs: 1000
instance049.gr: cost: 130997188.00, avg_time: 4.52 ms, avg-memory: 3297.69 KB, runs: 1000
instance050.gr: cost: 4335561.00, avg_time: 5.19 ms, avg-memory: 3557.65 KB, runs: 1000
instance051.gr: cost: 513888.00, avg_time: 5.58 ms, avg-memory: 3684.13 KB, runs: 1000
instance052.gr: cost: 3996.00, avg_time: 8.99 ms, avg-memory: 4965.95 KB, runs: 1000
instance053.gr: cost: 525.00, avg_time: 4.13 ms, avg-memory: 3166.60 KB, runs: 1000
instance054.gr: cost: 1801808.00, avg_time: 4.11 ms, avg-memory: 3174.46 KB, runs: 1000
instance055.gr: cost: 2200893.00, avg_time: 4.18 ms, avg-memory: 3169.94 KB, runs: 1000
instance056.gr: cost: 2100759.00, avg_time: 4.10 ms, avg-memory: 3173.95 KB, runs: 1000
instance057.gr: cost: 2000588.00, avg_time: 4.14 ms, avg-memory: 3170.44 KB, runs: 1000
instance058.gr: cost: 32801.00, avg_time: 4.47 ms, avg-memory: 3303.18 KB, runs: 1000
instance059.gr: cost: 2726.00, avg_time: 4.48 ms, avg-memory: 3296.47 KB, runs: 1000
instance060.gr: cost: 132754145.00, avg_time: 4.66 ms, avg-memory: 3304.51 KB, runs: 1000
instance061.gr: cost: 8501604.00, avg_time: 4.55 ms, avg-memory: 3298.42 KB, runs: 1000
instance062.gr: cost: 173009627.00, avg_time: 5.32 ms, avg-memory: 3593.45 KB, runs: 1000
instance063.gr: cost: 175715211.00, avg_time: 5.32 ms, avg-memory: 3664.46 KB, runs: 1000
instance064.gr: cost: 180684639.00, avg_time: 5.39 ms, avg-memory: 3682.48 KB, runs: 1000
instance065.gr: cost: 3452315.00, avg_time: 6.94 ms, avg-memory: 4450.15 KB, runs: 1000
instance066.gr: cost: 19401538.00, avg_time: 6.77 ms, avg-memory: 4298.32 KB, runs: 1000
instance067.gr: cost: 129044.00, avg_time: 4.14 ms, avg-memory: 3169.68 KB, runs: 1000
instance068.gr: cost: 129044.00, avg_time: 4.15 ms, avg-memory: 3173.98 KB, runs: 1000
instance069.gr: cost: 129044.00, avg_time: 4.11 ms, avg-memory: 3169.49 KB, runs: 1000
instance070.gr: cost: 105.00, avg_time: 4.14 ms, avg-memory: 3087.91 KB, runs: 1000
instance071.gr: cost: 90780655.00, avg_time: 4.32 ms, avg-memory: 3174.34 KB, runs: 1000
instance072.gr: cost: 2800966.00, avg_time: 4.22 ms, avg-memory: 3168.76 KB, runs: 1000
instance073.gr: cost: 7530.00, avg_time: 4.32 ms, avg-memory: 3173.47 KB, runs: 1000
instance074.gr: cost: 4803124.00, avg_time: 4.49 ms, avg-memory: 3297.82 KB, runs: 1000
instance075.gr: cost: 5003134.00, avg_time: 4.62 ms, avg-memory: 3300.20 KB, runs: 1000
