instance063.gr: cost: 166833206.00, avg_time: 5.84 ms, avg-memory: 3661.22 KB, runs: 1000
instance064.gr: cost: 170786881.00, avg_time: 5.89 ms, avg-memory: 3680.05 KB, runs: 1000
instance065.gr: cost: 3313665.00, avg_time: 7.24 ms, avg-memory: 4456.11 KB, runs: 1000
instance066.gr: cost: 18341504.00, avg_time: 7.00 ms, avg-memory: 4299.99 KB, runs: 1000
instance067.gr: cost: 59702.00, avg_time: 4.20 ms, avg-memory: 3174.26 KB, runs: 1000
instance068.gr: cost: 84907.00, avg_time: 4.24 ms, avg-memory: 3171.03 KB, runs: 1000
instance069.gr: cost: 109714.00, avg_time: 4.33 ms, avg-memory: 3168.01 KB, runs: 1000
instance070.gr: cost: 73.00, avg_time: 4.29 ms, avg-memory: 3085.64 KB, runs: 1000
instance071.gr: cost: 80910621.00, avg_time: 4.54 ms, avg-memory: 3171.13 KB, runs: 1000
instance072.gr: cost: 2800651.00, avg_time: 4.48 ms, avg-memory: 3171.36 KB, runs: 1000
instance073.gr: cost: 2694.00, avg_time: 4.64 ms, avg-memory: 3174.14 KB, runs: 1000
instance074.gr: cost: 4802377.00, avg_time: 4.78 ms, avg-memory: 3303.01 KB, runs: 1000
instance075.gr: cost: 4902280.00, avg_time: 5.13 ms, avg-memory: 3302.99 KB, runs: 1000
instance076.gr: cost: 514.00, avg_time: 5.65 ms, avg-memory: 3427.40 KB, runs: 1000
instance077.gr: cost: 20510285.00, avg_time: 6.82 ms, avg-memory: 4202.08 KB, runs: 1000
instance078.gr: cost: 3601.00, avg_time: 12.57 ms, avg-memory: 5576.58 KB, runs: 1000
instance079.gr: cost: 25210.00, avg_time: 69.95 ms, avg-memory: 21209.10 KB, runs: 706
instance080.gr: cost: 1600285.00, avg_time: 4.69 ms, avg-memory: 3171.38 KB, runs: 1000
instance081.gr: cost: 565.00, avg_time: 4.62 ms, avg-memory: 3170.61 KB, runs: 1000
instance082.gr: cost: 2900673.00, avg_time: 4.78 ms, avg-memory: 3170.16 KB, runs: 1000
instance083.gr: cost: 3200759.00, avg_time: 4.77 ms, avg-memory: 3175.69 KB, runs: 1000
instance084.gr: cost: 7003557.00, avg_time: 5.29 ms, avg-memory: 3302.22 KB, runs: 1000
instance085.gr: cost: 170199738.00, avg_time: 5.94 ms, avg-memory: 3687.27 KB, runs: 1000
instance086.gr: cost: 169819518.00, avg_time: 5.89 ms, avg-memory: 3685.20 KB, runs: 1000
instance087.gr: cost: 171343132.00, avg_time: 6.03 ms, avg-memory: 3687.36 KB, runs: 1000
instance088.gr: cost: 180140.00, avg_time: 6.47 ms, avg-memory: 3811.97 KB, runs: 1000
instance089.gr: cost: 133798.00, avg_time: 9.85 ms, avg-memory: 5735.29 KB, runs: 1000
instance090.gr: cost: 691.00, avg_time: 4.66 ms, avg-memory: 3173.13 KB, runs: 1000
instance091.gr: cost: 3300722.00, avg_time: 4.62 ms, avg-memory: 3175.71 KB, runs: 1000
instance092.gr: cost: 123193996.00, avg_time: 5.21 ms, avg-memory: 3426.00 KB, runs: 1000
instance093.gr: cost: 1560342646.00, avg_time: 5.50 ms, avg-memory: 3558.84 KB, runs: 1000
instance094.gr: cost: 173897827.00, avg_time: 5.72 ms, avg-memory: 3687.88 KB, runs: 1000
instance095.gr: cost: 174585404.00, avg_time: 5.93 ms, avg-memory: 3683.15 KB, runs: 1000
instance096.gr: cost: 169896270.00, avg_time: 5.90 ms, avg-memory: 3687.89 KB, runs: 1000
instance097.gr: cost: 239667017.00, avg_time: 7.12 ms, avg-memory: 4324.56 KB, runs: 1000
instance098.gr: cost: 88001301.00, avg_time: 5.22 ms, avg-memory: 3431.62 KB, runs: 1000
instance099.gr: cost: 170234315.00, avg_time: 5.82 ms, avg-memory: 3688.25 KB, runs: 1000
instance100.gr: cost: 178467455.00, avg_time: 5.97 ms, avg-memory: 3787.55 KB, runs: 1000
instance101.gr: cost: 243944057.00, avg_time: 7.31 ms, avg-memory: 4320.54 KB, runs: 1000
instance102.gr: cost: 7501095.00, avg_time: 5.22 ms, avg-memory: 3428.62 KB, runs: 1000
instance103.gr: cost: 330511.00, avg_time: 5.54 ms, avg-memory: 3558.65 KB, runs: 1000
instance104.gr: cost: 171095609.00, avg_time: 5.80 ms, avg-memory: 3685.90 KB, runs: 1000
instance105.gr: cost: 169588016.00, avg_time: 6.01 ms, avg-memory: 3686.62 KB, runs: 1000
instance106.gr: cost: 241750545.00, avg_time: 7.15 ms, avg-memory: 4195.44 KB, runs: 1000
instance107.gr: cost: 10822.00, avg_time: 4.46 ms, avg-memory: 3176.40 KB, runs: 1000
instance108.gr: cost: 9890.00, avg_time: 4.42 ms, avg-memory: 3168.68 KB, runs: 1000
instance109.gr: cost: 2300558.00, avg_time: 4.66 ms, avg-memory: 3175.10 KB, runs: 1000
instance110.gr: cost: 89708.00, avg_time: 5.93 ms, avg-memory: 3722.69 KB, runs: 1000
instance111.gr: cost: 246725677.00, avg_time: 7.23 ms, avg-memory: 4326.79 KB, runs: 1000
instance112.gr: cost: 249252979.00, avg_time: 7.24 ms, avg-memory: 4446.83 KB, runs: 1000
instance113.gr: cost: 5632.00, avg_time: 4.18 ms, avg-memory: 3045.46 KB, runs: 1000
instance114.gr: cost: 6807.00, avg_time: 4.47 ms, avg-memory: 3043.03 KB, runs: 1000
instance115.gr: cost: 2700608.00, avg_time: 4.84 ms, avg-memory: 3167.90 KB, runs: 1000
instance116.gr: cost: 2800463.00, avg_time: 4.80 ms, avg-memory: 3170.67 KB, runs: 1000
