instance063.gr: cost: 165455505.00, avg_time: 47.02 ms, avg-memory: 3681.26 KB, runs: 924
instance064.gr: cost: 168245050.00, avg_time: 49.59 ms, avg-memory: 3681.17 KB, runs: 893
instance065.gr: cost: 3262115.00, avg_time: 310.10 ms, avg-memory: 4456.58 KB, runs: 153
instance066.gr: cost: 18113118.00, avg_time: 183.93 ms, avg-memory: 4325.82 KB, runs: 266
instance067.gr: cost: 42206.00, avg_time: 4.84 ms, avg-memory: 3172.06 KB, runs: 1000
instance068.gr: cost: 57652.00, avg_time: 5.47 ms, avg-memory: 3175.54 KB, runs: 1000
instance069.gr: cost: 86573.00, avg_time: 6.16 ms, avg-memory: 3167.77 KB, runs: 1000
instance070.gr: cost: 73.00, avg_time: 4.87 ms, avg-memory: 3086.60 KB, runs: 1000
instance071.gr: cost: 78702422.00, avg_time: 7.16 ms, avg-memory: 3176.00 KB, runs: 1000
instance072.gr: cost: 2800500.00, avg_time: 5.51 ms, avg-memory: 3170.44 KB, runs: 1000
instance073.gr: cost: 2324.00, avg_time: 4.93 ms, avg-memory: 3179.23 KB, runs: 1000
instance074.gr: cost: 4802344.00, avg_time: 6.89 ms, avg-memory: 3298.40 KB, runs: 1000
instance075.gr: cost: 4902042.00, avg_time: 7.55 ms, avg-memory: 3296.50 KB, runs: 1000
instance076.gr: cost: 514.00, avg_time: 20.76 ms, avg-memory: 3428.58 KB, runs: 1000
instance077.gr: cost: 20863796.00, avg_time: 168.84 ms, avg-memory: 4195.57 KB, runs: 297
instance078.gr: cost: 3601.00, avg_time: 1025.89 ms, avg-memory: 5591.02 KB, runs: 49
instance079.gr: cost: 25210.00, avg_time: 158136.14 ms, avg-memory: 21992.00 KB, runs: 1
instance080.gr: cost: 1600214.00, avg_time: 4.73 ms, avg-memory: 3170.01 KB, runs: 1000
instance081.gr: cost: 531.00, avg_time: 5.92 ms, avg-memory: 3176.91 KB, runs: 1000
instance082.gr: cost: 2900550.00, avg_time: 5.27 ms, avg-memory: 3171.09 KB, runs: 1000
instance083.gr: cost: 3200622.00, avg_time: 5.66 ms, avg-memory: 3167.75 KB, runs: 1000
instance084.gr: cost: 7003118.00, avg_time: 9.41 ms, avg-memory: 3337.52 KB, runs: 1000
instance085.gr: cost: 167045031.00, avg_time: 52.02 ms, avg-memory: 3687.70 KB, runs: 792
instance086.gr: cost: 167020038.00, avg_time: 53.00 ms, avg-memory: 3680.92 KB, runs: 859
instance087.gr: cost: 168991047.00, avg_time: 53.53 ms, avg-memory: 3686.79 KB, runs: 771
instance088.gr: cost: 184490.00, avg_time: 89.03 ms, avg-memory: 3806.21 KB, runs: 511
instance089.gr: cost: 133635.00, avg_time: 1280.38 ms, avg-memory: 5868.20 KB, runs: 40
instance090.gr: cost: 642.00, avg_time: 7.16 ms, avg-memory: 3178.32 KB, runs: 1000
instance091.gr: cost: 3300673.00, avg_time: 5.66 ms, avg-memory: 3177.80 KB, runs: 1000
instance092.gr: cost: 121647765.00, avg_time: 17.62 ms, avg-memory: 3432.36 KB, runs: 1000
instance093.gr: cost: 1541206026.00, avg_time: 32.43 ms, avg-memory: 3553.18 KB, runs: 1000
instance094.gr: cost: 170461369.00, avg_time: 52.88 ms, avg-memory: 3686.91 KB, runs: 746
instance095.gr: cost: 169840270.00, avg_time: 54.35 ms, avg-memory: 3684.52 KB, runs: 845
instance096.gr: cost: 166440044.00, avg_time: 55.15 ms, avg-memory: 3686.14 KB, runs: 823
instance097.gr: cost: 235514355.00, avg_time: 210.67 ms, avg-memory: 4320.56 KB, runs: 213
instance098.gr: cost: 88001211.00, avg_time: 10.74 ms, avg-memory: 3433.62 KB, runs: 1000
instance099.gr: cost: 167883308.00, avg_time: 52.22 ms, avg-memory: 3689.49 KB, runs: 897
instance100.gr: cost: 173043739.00, avg_time: 63.88 ms, avg-memory: 3810.25 KB, runs: 659
instance101.gr: cost: 237553484.00, avg_time: 232.73 ms, avg-memory: 4437.53 KB, runs: 183
instance102.gr: cost: 7501062.00, avg_time: 9.72 ms, avg-memory: 3427.70 KB, runs: 1000
instance103.gr: cost: 327213.00, avg_time: 39.22 ms, avg-memory: 3553.34 KB, runs: 1000
instance104.gr: cost: 168290387.00, avg_time: 49.21 ms, avg-memory: 3682.42 KB, runs: 906
instance105.gr: cost: 166960954.00, avg_time: 59.27 ms, avg-memory: 3678.60 KB, runs: 790
instance106.gr: cost: 237128212.00, avg_time: 199.98 ms, avg-memory: 4334.83 KB, runs: 229
instance107.gr: cost: 7852.00, avg_time: 4.79 ms, avg-memory: 3170.89 KB, runs: 1000
instance108.gr: cost: 7508.00, avg_time: 4.80 ms, avg-memory: 3169.71 KB, runs: 1000
instance109.gr: cost: 2300460.00, avg_time: 5.30 ms, avg-memory: 3173.40 KB, runs: 1000
instance110.gr: cost: 86606.00, avg_time: 61.26 ms, avg-memory: 3813.85 KB, runs: 817
instance111.gr: cost: 240031168.00, avg_time: 225.60 ms, avg-memory: 4442.04 KB, runs: 206
instance112.gr: cost: 242628369.00, avg_time: 232.50 ms, avg-memory: 4447.00 KB, runs: 212
instance113.gr: cost: 4562.00, avg_time: 4.44 ms, avg-memory: 3042.75 KB, runs: 1000
instance114.gr: cost: 4769.00, avg_time: 4.42 ms, avg-memory: 3042.12 KB, runs: 1000
instance115.gr: cost: 2700466.00, avg_time: 5.40 ms, avg-memory: 3170.13 KB, runs: 1000
instance116.gr: cost: 2800407.00, avg_time: 5.52 ms, avg-memory: 3173.02 KB, runs: 1000
instance117.gr: cost: 4401557.00, avg_time: 6.71 ms, avg-memory: 3294.38 KB, runs: 1000
instance118.gr: cost: 40404.00, avg_time: 20.21 ms, avg-memory: 3428.22 KB, runs: 1000
instance119.gr: cost: 40404.00, avg_time: 20.26 ms, avg-memory: 3430.96 KB, runs: 1000
instance120.gr: cost: 4301607.00, avg_time: 7.44 ms, avg-memory: 3305.25 KB, runs: 1000
instance121.gr: cost: 781.00, avg_time: 6.70 ms, avg-memory: 3556.66 KB, runs: 1000
instance122.gr: cost: 239715573.00, avg_time: 222.02 ms, avg-memory: 4313.37 KB, runs: 219
instance123.gr: cost: 235734002.00, avg_time: 231.55 ms, avg-memory: 4411.44 KB, runs: 216
instance124.gr: cost: 18835423.00, avg_time: 231.55 ms, avg-memory: 4328.58 KB, runs: 215
instance125.gr: cost: 7741.00, avg_time: 4.68 ms, avg-memory: 3168.14 KB, runs: 1000
instance126.gr: cost: 7620.00, avg_time: 4.61 ms, avg-memory: 3168.10 KB, runs: 1000
instance127.gr: cost: 2200421.00, avg_time: 5.42 ms, avg-memory: 3173.43 KB, runs: 1000
instance128.gr: cost: 1601238.00, avg_time: 5.22 ms, avg-memory: 3175.78 KB, runs: 1000
instance129.gr: cost: 3100654.00, avg_time: 5.53 ms, avg-memory: 3174.02 KB, runs: 1000
instance130.gr: cost: 3600681.00, avg_time: 6.23 ms, avg-memory: 3176.62 KB, runs: 1000
instance131.gr: cost: 629.00, avg_time: 5.59 ms, avg-memory: 3298.15 KB, runs: 1000
instance132.gr: cost: 4701400.00, avg_time: 7.58 ms, avg-memory: 3305.94 KB, runs: 1000
instance133.gr: cost: 7602204.00, avg_time: 10.84 ms, avg-memory: 3431.28 KB, runs: 1000
instance134.gr: cost: 169916783.00, avg_time: 55.45 ms, avg-memory: 3679.01 KB, runs: 829
instance135.gr: cost: 234631965.00, avg_time: 199.68 ms, avg-memory: 4325.88 KB, runs: 249
instance136.gr: cost: 239343084.00, avg_time: 209.59 ms, avg-memory: 4316.90 KB, runs: 232
instance137.gr: cost: 236573003.00, avg_time: 216.08 ms, avg-memory: 4327.01 KB, runs: 231
instance138.gr: cost: 239329063.00, avg_time: 237.13 ms, avg-memory: 4441.21 KB, runs: 211
instance139.gr: cost: 241303910.00, avg_time: 252.85 ms, avg-memory: 4453.57 KB, runs: 196
instance140.gr: cost: 7159.00, avg_time: 4.70 ms, avg-memory: 3176.32 KB, runs: 1000
instance141.gr: cost: 3800650.00, avg_time: 6.04 ms, avg-memory: 3170.48 KB, runs: 1000
instance142.gr: cost: 3000606.00, avg_time: 5.99 ms, avg-memory: 3174.94 KB, runs: 1000
instance143.gr: cost: 4500805.00, avg_time: 6.67 ms, avg-memory: 3274.31 KB, runs: 1000
instance144.gr: cost: 3600619.00, avg_time: 6.29 ms, avg-memory: 3298.12 KB, runs: 1000
instance145.gr: cost: 3300548.00, avg_time: 6.14 ms, avg-memory: 3300.89 KB, runs: 1000
instance146.gr: cost: 4100822.00, avg_time: 6.72 ms, avg-memory: 3304.69 KB, runs: 1000
instance147.gr: cost: 5001706.00, avg_time: 7.84 ms, avg-memory: 3299.16 KB, runs: 1000
