instance063.gr: cost: 169027359.00, avg_time: 33.39 ms, avg-memory: 9169.09 KB, runs: 1000
instance064.gr: cost: 171062346.00, avg_time: 34.29 ms, avg-memory: 9207.07 KB, runs: 1000
instance065.gr: cost: 3323675.00, avg_time: 199.00 ms, avg-memory: 74349.65 KB, runs: 238
instance066.gr: cost: 18455913.00, avg_time: 92.47 ms, avg-memory: 27030.02 KB, runs: 497
instance067.gr: cost: 42844.00, avg_time: 19.79 ms, avg-memory: 3551.38 KB, runs: 1000
instance068.gr: cost: 58412.00, avg_time: 18.80 ms, avg-memory: 3542.75 KB, runs: 1000
instance069.gr: cost: 86602.00, avg_time: 19.35 ms, avg-memory: 3672.46 KB, runs: 1000
instance070.gr: cost: 74.00, avg_time: 19.02 ms, avg-memory: 3419.50 KB, runs: 1000
instance071.gr: cost: 80803466.00, avg_time: 18.60 ms, avg-memory: 3676.30 KB, runs: 1000
instance072.gr: cost: 4800316.00, avg_time: 18.73 ms, avg-memory: 3554.74 KB, runs: 1000
instance073.gr: cost: 2383.00, avg_time: 18.74 ms, avg-memory: 3552.10 KB, runs: 1000
instance074.gr: cost: 9202244.00, avg_time: 18.65 ms, avg-memory: 3679.74 KB, runs: 1000
instance075.gr: cost: 8801693.00, avg_time: 18.82 ms, avg-memory: 3797.42 KB, runs: 1000
instance076.gr: cost: 521.00, avg_time: 21.12 ms, avg-memory: 5539.18 KB, runs: 1000
instance077.gr: cost: 20326899.00, avg_time: 145.88 ms, avg-memory: 54104.39 KB, runs: 325
instance078.gr: cost: 3648.00, avg_time: 434.43 ms, avg-memory: 129957.53 KB, runs: 115
instance079.gr: cost: 25523.00, avg_time: 45237.61 ms, avg-memory: 5850948.00 KB, runs: 1
instance080.gr: cost: 2400198.00, avg_time: 19.60 ms, avg-memory: 3549.57 KB, runs: 1000
instance081.gr: cost: 557.00, avg_time: 18.50 ms, avg-memory: 3554.23 KB, runs: 1000
instance082.gr: cost: 5000348.00, avg_time: 18.75 ms, avg-memory: 3546.90 KB, runs: 1000
instance083.gr: cost: 5600369.00, avg_time: 18.73 ms, avg-memory: 3552.55 KB, runs: 1000
instance084.gr: cost: 12402747.00, avg_time: 18.76 ms, avg-memory: 3808.32 KB, runs: 1000
instance085.gr: cost: 170240612.00, avg_time: 33.57 ms, avg-memory: 9215.32 KB, runs: 1000
instance086.gr: cost: 169501886.00, avg_time: 34.02 ms, avg-memory: 9243.95 KB, runs: 1000
instance087.gr: cost: 173181840.00, avg_time: 34.15 ms, avg-memory: 9347.09 KB, runs: 1000
instance088.gr: cost: 185680.00, avg_time: 37.17 ms, avg-memory: 9517.00 KB, runs: 1000
instance089.gr: cost: 134478.00, avg_time: 575.41 ms, avg-memory: 192946.14 KB, runs: 86
instance090.gr: cost: 678.00, avg_time: 18.78 ms, avg-memory: 3679.67 KB, runs: 1000
instance091.gr: cost: 6200602.00, avg_time: 18.75 ms, avg-memory: 3551.41 KB, runs: 1000
instance092.gr: cost: 123525878.00, avg_time: 19.95 ms, avg-memory: 4547.59 KB, runs: 1000
instance093.gr: cost: 1572262621.00, avg_time: 24.37 ms, avg-memory: 6469.80 KB, runs: 1000
instance094.gr: cost: 173048248.00, avg_time: 33.70 ms, avg-memory: 9226.50 KB, runs: 1000
instance095.gr: cost: 173851934.00, avg_time: 34.35 ms, avg-memory: 9251.85 KB, runs: 1000
instance096.gr: cost: 171048086.00, avg_time: 34.03 ms, avg-memory: 9341.73 KB, runs: 1000
instance097.gr: cost: 240958556.00, avg_time: 93.81 ms, avg-memory: 27146.93 KB, runs: 529
instance098.gr: cost: 157000536.00, avg_time: 18.71 ms, avg-memory: 3929.97 KB, runs: 1000
instance099.gr: cost: 170761473.00, avg_time: 33.49 ms, avg-memory: 9223.06 KB, runs: 1000
instance100.gr: cost: 176880102.00, avg_time: 35.19 ms, avg-memory: 9432.96 KB, runs: 1000
instance101.gr: cost: 243657275.00, avg_time: 96.29 ms, avg-memory: 27232.60 KB, runs: 475
instance102.gr: cost: 13700484.00, avg_time: 18.85 ms, avg-memory: 3920.66 KB, runs: 1000
