instance001.gr: cost: 1184.00, avg_time: 12.85 ms, avg-memory: 3434.36 KB, runs: 1000
instance002.gr: cost: 659.00, avg_time: 12.08 ms, avg-memory: 3548.64 KB, runs: 1000
instance003.gr: cost: 45140.00, avg_time: 12.56 ms, avg-memory: 3438.85 KB, runs: 1000
instance004.gr: cost: 59540.00, avg_time: 11.91 ms, avg-memory: 3442.14 KB, runs: 1000
instance005.gr: cost: 782102777.00, avg_time: 12.72 ms, avg-memory: 3688.68 KB, runs: 1000
instance006.gr: cost: 130814.00, avg_time: 14.55 ms, avg-memory: 3860.33 KB, runs: 1000
instance007.gr: cost: 21577.00, avg_time: 12.85 ms, avg-memory: 3692.65 KB, runs: 1000
instance008.gr: cost: 22457.00, avg_time: 13.10 ms, avg-memory: 3693.24 KB, runs: 1000
instance009.gr: cost: 79618722.00, avg_time: 13.24 ms, avg-memory: 3689.17 KB, runs: 1000
instance010.gr: cost: 22160.00, avg_time: 12.98 ms, avg-memory: 3693.92 KB, runs: 1000
instance011.gr: cost: 21924.00, avg_time: 13.56 ms, avg-memory: 3684.86 KB, runs: 1000
instance012.gr: cost: 98750.00, avg_time: 32.10 ms, avg-memory: 7570.14 KB, runs: 1000
instance013.gr: cost: 591110.00, avg_time: 277.77 ms, avg-memory: 67348.75 KB, runs: 165
instance014.gr: cost: 365630.00, avg_time: 675.47 ms, avg-memory: 127340.51 KB, runs: 70
instance015.gr: cost: 1447.00, avg_time: 12.27 ms, avg-memory: 3436.61 KB, runs: 1000
instance016.gr: cost: 100629.00, avg_time: 12.38 ms, avg-memory: 3556.96 KB, runs: 1000
instance017.gr: cost: 75886977.00, avg_time: 13.54 ms, avg-memory: 3696.21 KB, runs: 1000
instance018.gr: cost: 54700.00, avg_time: 14.27 ms, avg-memory: 3797.23 KB, runs: 1000
instance019.gr: cost: 73653430.00, avg_time: 13.67 ms, avg-memory: 3695.10 KB, runs: 1000
instance020.gr: cost: 79252338.00, avg_time: 13.61 ms, avg-memory: 3695.26 KB, runs: 1000
instance021.gr: cost: 83500.00, avg_time: 13.58 ms, avg-memory: 3691.89 KB, runs: 1000
instance022.gr: cost: 11231292.00, avg_time: 30.36 ms, avg-memory: 7257.16 KB, runs: 1000
instance023.gr: cost: 3615835.00, avg_time: 59.13 ms, avg-memory: 10547.28 KB, runs: 730
instance024.gr: cost: 256637.00, avg_time: 196.10 ms, avg-memory: 40172.37 KB, runs: 247
instance025.gr: cost: 22737550.00, avg_time: 6332.82 ms, avg-memory: 1170573.14 KB, runs: 7
instance026.gr: cost: 8870245.00, avg_time: 19954.18 ms, avg-memory: 2846186.00 KB, runs: 2
instance027.gr: cost: 10.00, avg_time: 12.11 ms, avg-memory: 3434.29 KB, runs: 1000
instance028.gr: cost: 32066.00, avg_time: 11.96 ms, avg-memory: 3537.42 KB, runs: 1000
instance029.gr: cost: 20998.00, avg_time: 12.99 ms, avg-memory: 3688.71 KB, runs: 1000
instance030.gr: cost: 14058.00, avg_time: 13.30 ms, avg-memory: 3693.18 KB, runs: 1000
instance031.gr: cost: 1270.00, avg_time: 13.30 ms, avg-memory: 3693.86 KB, runs: 1000
instance032.gr: cost: 66223.00, avg_time: 16.00 ms, avg-memory: 3785.35 KB, runs: 1000
instance033.gr: cost: 30309.00, avg_time: 20.55 ms, avg-memory: 3986.74 KB, runs: 1000
instance034.gr: cost: 2418.00, avg_time: 24.87 ms, avg-memory: 4550.44 KB, runs: 1000
instance035.gr: cost: 120848751.00, avg_time: 24.19 ms, avg-memory: 4489.89 KB, runs: 1000
instance036.gr: cost: 123099805.00, avg_time: 26.11 ms, avg-memory: 4512.56 KB, runs: 1000
instance037.gr: cost: 168025682.00, avg_time: 67.87 ms, avg-memory: 9178.89 KB, runs: 737
instance038.gr: cost: 2304535.00, avg_time: 182.31 ms, avg-memory: 29606.79 KB, runs: 275
instance039.gr: cost: 53935.00, avg_time: 205.26 ms, avg-memory: 33539.97 KB, runs: 244
instance040.gr: cost: 22374232.00, avg_time: 169.80 ms, avg-memory: 28687.66 KB, runs: 295
instance041.gr: cost: 299863.00, avg_time: 432.24 ms, avg-memory: 84272.97 KB, runs: 116
instance042.gr: cost: 534543.00, avg_time: 4145.56 ms, avg-memory: 719102.55 KB, runs: 11
instance043.gr: cost: 4300397.00, avg_time: 12.44 ms, avg-memory: 3561.71 KB, runs: 1000
instance044.gr: cost: 4300465.00, avg_time: 12.45 ms, avg-memory: 3567.18 KB, runs: 1000
instance045.gr: cost: 27500.00, avg_time: 17.20 ms, avg-memory: 3862.07 KB, runs: 1000
instance046.gr: cost: 26920.00, avg_time: 17.28 ms, avg-memory: 3902.96 KB, runs: 1000
instance047.gr: cost: 121965257.00, avg_time: 25.84 ms, avg-memory: 4515.22 KB, runs: 1000
instance048.gr: cost: 124548039.00, avg_time: 26.81 ms, avg-memory: 4526.96 KB, runs: 1000
instance049.gr: cost: 121389684.00, avg_time: 26.53 ms, avg-memory: 4520.00 KB, runs: 1000
instance050.gr: cost: 4234363.00, avg_time: 86.46 ms, avg-memory: 14184.94 KB, runs: 576
instance051.gr: cost: 493627.00, avg_time: 95.34 ms, avg-memory: 12653.64 KB, runs: 517
instance052.gr: cost: 3423.00, avg_time: 442.10 ms, avg-memory: 118559.40 KB, runs: 113
instance053.gr: cost: 445.00, avg_time: 12.66 ms, avg-memory: 3558.98 KB, runs: 1000
instance054.gr: cost: 3201420.00, avg_time: 12.58 ms, avg-memory: 3566.68 KB, runs: 1000
instance055.gr: cost: 3500471.00, avg_time: 12.53 ms, avg-memory: 3565.62 KB, runs: 1000
instance056.gr: cost: 3700389.00, avg_time: 12.40 ms, avg-memory: 3564.26 KB, runs: 1000
instance057.gr: cost: 3400245.00, avg_time: 12.54 ms, avg-memory: 3562.86 KB, runs: 1000
instance058.gr: cost: 30581.00, avg_time: 21.25 ms, avg-memory: 3988.56 KB, runs: 1000
instance059.gr: cost: 2556.00, avg_time: 21.45 ms, avg-memory: 4043.57 KB, runs: 1000
instance060.gr: cost: 125463533.00, avg_time: 26.66 ms, avg-memory: 4542.47 KB, runs: 1000
instance061.gr: cost: 11800558.00, avg_time: 15.12 ms, avg-memory: 3809.20 KB, runs: 1000
instance062.gr: cost: 164993532.00, avg_time: 69.57 ms, avg-memory: 9192.01 KB, runs: 719
instance063.gr: cost: 169027359.00, avg_time: 69.45 ms, avg-memory: 9200.47 KB, runs: 721
instance064.gr: cost: 171062346.00, avg_time: 73.09 ms, avg-memory: 9249.48 KB, runs: 677
instance065.gr: cost: 3323675.00, avg_time: 498.01 ms, avg-memory: 74378.51 KB, runs: 99
instance066.gr: cost: 18455913.00, avg_time: 249.19 ms, avg-memory: 27076.08 KB, runs: 200
instance067.gr: cost: 42844.00, avg_time: 12.88 ms, avg-memory: 3557.94 KB, runs: 1000
instance068.gr: cost: 58412.00, avg_time: 12.04 ms, avg-memory: 3564.74 KB, runs: 1000
