instance001.gr: cost: 503.00, avg_time: 20.31 ms, avg-memory: 3437.04 KB, runs: 1000
instance002.gr: cost: 125.00, avg_time: 19.61 ms, avg-memory: 4977.18 KB, runs: 1000
instance003.gr: cost: 86.00, avg_time: 18.68 ms, avg-memory: 4971.56 KB, runs: 1000
instance004.gr: cost: 39.00, avg_time: 23.93 ms, avg-memory: 5026.48 KB, runs: 1000
instance005.gr: cost: 15.00, avg_time: 36.63 ms, avg-memory: 5805.07 KB, runs: 1000
instance006.gr: cost: 557.00, avg_time: 19.82 ms, avg-memory: 3440.33 KB, runs: 1000
instance007.gr: cost: 1267.00, avg_time: 19.90 ms, avg-memory: 3440.86 KB, runs: 1000
instance008.gr: cost: 2007.00, avg_time: 20.03 ms, avg-memory: 3561.58 KB, runs: 1000
instance009.gr: cost: 932.00, avg_time: 19.06 ms, avg-memory: 3438.24 KB, runs: 1000
instance010.gr: cost: 2539.00, avg_time: 19.14 ms, avg-memory: 3439.38 KB, runs: 1000
instance011.gr: cost: 25.00, avg_time: 19.04 ms, avg-memory: 3435.98 KB, runs: 1000
instance012.gr: cost: 1808.00, avg_time: 19.09 ms, avg-memory: 3441.77 KB, runs: 1000
instance013.gr: cost: 5175.00, avg_time: 19.28 ms, avg-memory: 3821.44 KB, runs: 1000
instance014.gr: cost: 4089.00, avg_time: 19.37 ms, avg-memory: 3822.14 KB, runs: 1000
instance015.gr: cost: 4015.00, avg_time: 19.32 ms, avg-memory: 3821.29 KB, runs: 1000
instance016.gr: cost: 4579.00, avg_time: 19.41 ms, avg-memory: 3822.87 KB, runs: 1000
instance017.gr: cost: 5270.00, avg_time: 19.28 ms, avg-memory: 3819.48 KB, runs: 1000
instance018.gr: cost: 3175.00, avg_time: 19.80 ms, avg-memory: 3825.47 KB, runs: 1000
instance019.gr: cost: 3064.00, avg_time: 19.65 ms, avg-memory: 3822.47 KB, runs: 1000
instance020.gr: cost: 3065.00, avg_time: 19.76 ms, avg-memory: 3824.94 KB, runs: 1000
instance021.gr: cost: 2667.00, avg_time: 19.65 ms, avg-memory: 3817.53 KB, runs: 1000
instance022.gr: cost: 2954.00, avg_time: 19.70 ms, avg-memory: 3822.40 KB, runs: 1000
instance023.gr: cost: 2350.00, avg_time: 79.07 ms, avg-memory: 8615.63 KB, runs: 628
instance024.gr: cost: 2349.00, avg_time: 78.28 ms, avg-memory: 8605.21 KB, runs: 639
instance025.gr: cost: 2348.00, avg_time: 77.94 ms, avg-memory: 8612.41 KB, runs: 600
instance026.gr: cost: 2344.00, avg_time: 78.15 ms, avg-memory: 8613.42 KB, runs: 610
instance027.gr: cost: 196.00, avg_time: 18.39 ms, avg-memory: 3436.51 KB, runs: 1000
instance028.gr: cost: 297.00, avg_time: 18.53 ms, avg-memory: 3438.24 KB, runs: 1000
instance029.gr: cost: 250.00, avg_time: 18.61 ms, avg-memory: 3479.35 KB, runs: 1000
instance030.gr: cost: 379.00, avg_time: 18.84 ms, avg-memory: 3563.76 KB, runs: 1000
instance031.gr: cost: 321.00, avg_time: 18.69 ms, avg-memory: 3568.99 KB, runs: 1000
instance032.gr: cost: 2308.00, avg_time: 18.74 ms, avg-memory: 3562.62 KB, runs: 1000
instance033.gr: cost: 337.00, avg_time: 18.70 ms, avg-memory: 3565.40 KB, runs: 1000
instance034.gr: cost: 483.00, avg_time: 18.92 ms, avg-memory: 3697.87 KB, runs: 1000
instance035.gr: cost: 615.00, avg_time: 18.76 ms, avg-memory: 3816.69 KB, runs: 1000
instance036.gr: cost: 639.00, avg_time: 18.98 ms, avg-memory: 3820.48 KB, runs: 1000
instance037.gr: cost: 576.00, avg_time: 18.98 ms, avg-memory: 3933.97 KB, runs: 1000
instance038.gr: cost: 4335.00, avg_time: 19.00 ms, avg-memory: 3945.17 KB, runs: 1000
instance039.gr: cost: 648.00, avg_time: 18.99 ms, avg-memory: 3949.82 KB, runs: 1000
instance040.gr: cost: 632.00, avg_time: 19.02 ms, avg-memory: 3953.76 KB, runs: 1000
instance041.gr: cost: 627.00, avg_time: 19.01 ms, avg-memory: 3949.15 KB, runs: 1000
instance042.gr: cost: 658.00, avg_time: 19.04 ms, avg-memory: 3946.31 KB, runs: 1000
instance043.gr: cost: 649.00, avg_time: 19.05 ms, avg-memory: 3948.56 KB, runs: 1000
instance044.gr: cost: 561.00, avg_time: 19.09 ms, avg-memory: 4079.33 KB, runs: 1000
instance045.gr: cost: 862.00, avg_time: 19.17 ms, avg-memory: 4205.97 KB, runs: 1000
instance046.gr: cost: 244.00, avg_time: 19.28 ms, avg-memory: 4975.83 KB, runs: 1000
instance047.gr: cost: 165.00, avg_time: 20.25 ms, avg-memory: 4980.71 KB, runs: 1000
instance048.gr: cost: 1669.00, avg_time: 19.76 ms, avg-memory: 5354.05 KB, runs: 1000
instance049.gr: cost: 1721.00, avg_time: 21.44 ms, avg-memory: 5482.67 KB, runs: 1000
instance050.gr: cost: 2191.00, avg_time: 23.56 ms, avg-memory: 6736.98 KB, runs: 1000
instance051.gr: cost: 71.00, avg_time: 23.25 ms, avg-memory: 5062.73 KB, runs: 1000
instance052.gr: cost: 27.00, avg_time: 38.77 ms, avg-memory: 5891.80 KB, runs: 1000
instance053.gr: cost: 1900323.00, avg_time: 18.82 ms, avg-memory: 3439.32 KB, runs: 1000
instance054.gr: cost: 1900141.00, avg_time: 18.76 ms, avg-memory: 3441.30 KB, runs: 1000
instance055.gr: cost: 333.00, avg_time: 18.82 ms, avg-memory: 3550.36 KB, runs: 1000
instance056.gr: cost: 320.00, avg_time: 18.98 ms, avg-memory: 3563.30 KB, runs: 1000
instance057.gr: cost: 378.00, avg_time: 18.76 ms, avg-memory: 3562.24 KB, runs: 1000
instance058.gr: cost: 408.00, avg_time: 18.64 ms, avg-memory: 3564.05 KB, runs: 1000
instance059.gr: cost: 574.00, avg_time: 19.04 ms, avg-memory: 3565.08 KB, runs: 1000
instance060.gr: cost: 509.00, avg_time: 18.72 ms, avg-memory: 3567.58 KB, runs: 1000
instance061.gr: cost: 350.00, avg_time: 18.98 ms, avg-memory: 3565.86 KB, runs: 1000
instance062.gr: cost: 530.00, avg_time: 19.07 ms, avg-memory: 3674.02 KB, runs: 1000
instance063.gr: cost: 644.00, avg_time: 18.74 ms, avg-memory: 3699.75 KB, runs: 1000
instance064.gr: cost: 511.00, avg_time: 19.13 ms, avg-memory: 3821.06 KB, runs: 1000
instance065.gr: cost: 523.00, avg_time: 18.87 ms, avg-memory: 3817.53 KB, runs: 1000
