instance001.gr: cost: 503.00, avg_time: 4.42 ms, avg-memory: 3048.78 KB, runs: 1000
instance002.gr: cost: 115.00, avg_time: 7.74 ms, avg-memory: 4194.54 KB, runs: 1000
instance003.gr: cost: 78.00, avg_time: 8.67 ms, avg-memory: 4321.98 KB, runs: 1000
instance004.gr: cost: 38.00, avg_time: 12.00 ms, avg-memory: 4308.43 KB, runs: 1000
instance005.gr: cost: 15.00, avg_time: 30.83 ms, avg-memory: 5064.18 KB, runs: 1000
instance006.gr: cost: 557.00, avg_time: 4.38 ms, avg-memory: 3045.45 KB, runs: 1000
instance007.gr: cost: 1267.00, avg_time: 4.59 ms, avg-memory: 3174.37 KB, runs: 1000
instance008.gr: cost: 1911.00, avg_time: 4.88 ms, avg-memory: 3171.88 KB, runs: 1000
instance009.gr: cost: 932.00, avg_time: 4.40 ms, avg-memory: 3044.34 KB, runs: 1000
instance010.gr: cost: 2346.00, avg_time: 4.53 ms, avg-memory: 3047.19 KB, runs: 1000
instance011.gr: cost: 23.00, avg_time: 4.55 ms, avg-memory: 3044.06 KB, runs: 1000
instance012.gr: cost: 1776.00, avg_time: 4.64 ms, avg-memory: 3173.32 KB, runs: 1000
instance013.gr: cost: 4548.00, avg_time: 5.59 ms, avg-memory: 3305.05 KB, runs: 1000
instance014.gr: cost: 3782.00, avg_time: 5.62 ms, avg-memory: 3301.48 KB, runs: 1000
instance015.gr: cost: 3631.00, avg_time: 5.60 ms, avg-memory: 3301.32 KB, runs: 1000
instance016.gr: cost: 4247.00, avg_time: 5.62 ms, avg-memory: 3303.51 KB, runs: 1000
instance017.gr: cost: 4658.00, avg_time: 5.61 ms, avg-memory: 3301.02 KB, runs: 1000
instance018.gr: cost: 2745.00, avg_time: 6.89 ms, avg-memory: 3427.16 KB, runs: 1000
instance019.gr: cost: 2655.00, avg_time: 6.89 ms, avg-memory: 3429.28 KB, runs: 1000
instance020.gr: cost: 2574.00, avg_time: 6.88 ms, avg-memory: 3427.97 KB, runs: 1000
instance021.gr: cost: 2464.00, avg_time: 6.88 ms, avg-memory: 3428.38 KB, runs: 1000
instance022.gr: cost: 2455.00, avg_time: 6.89 ms, avg-memory: 3433.02 KB, runs: 1000
instance023.gr: cost: 2350.00, avg_time: 101.15 ms, avg-memory: 8139.57 KB, runs: 440
instance024.gr: cost: 2349.00, avg_time: 102.51 ms, avg-memory: 8137.82 KB, runs: 476
instance025.gr: cost: 2348.00, avg_time: 100.83 ms, avg-memory: 8139.38 KB, runs: 476
instance026.gr: cost: 2344.00, avg_time: 100.19 ms, avg-memory: 8131.75 KB, runs: 393
instance027.gr: cost: 196.00, avg_time: 4.45 ms, avg-memory: 3044.84 KB, runs: 1000
instance028.gr: cost: 297.00, avg_time: 4.60 ms, avg-memory: 3173.18 KB, runs: 1000
instance029.gr: cost: 250.00, avg_time: 4.64 ms, avg-memory: 3171.20 KB, runs: 1000
instance030.gr: cost: 379.00, avg_time: 4.85 ms, avg-memory: 3176.18 KB, runs: 1000
instance031.gr: cost: 321.00, avg_time: 4.84 ms, avg-memory: 3169.20 KB, runs: 1000
instance032.gr: cost: 2304.00, avg_time: 4.93 ms, avg-memory: 3174.08 KB, runs: 1000
instance033.gr: cost: 334.00, avg_time: 4.88 ms, avg-memory: 3170.36 KB, runs: 1000
instance034.gr: cost: 470.00, avg_time: 5.31 ms, avg-memory: 3304.24 KB, runs: 1000
instance035.gr: cost: 628.00, avg_time: 5.39 ms, avg-memory: 3303.56 KB, runs: 1000
instance036.gr: cost: 628.00, avg_time: 5.46 ms, avg-memory: 3295.38 KB, runs: 1000
instance037.gr: cost: 571.00, avg_time: 5.71 ms, avg-memory: 3427.94 KB, runs: 1000
instance038.gr: cost: 4335.00, avg_time: 6.08 ms, avg-memory: 3427.90 KB, runs: 1000
instance039.gr: cost: 604.00, avg_time: 5.63 ms, avg-memory: 3428.93 KB, runs: 1000
instance040.gr: cost: 632.00, avg_time: 5.78 ms, avg-memory: 3555.01 KB, runs: 1000
instance041.gr: cost: 609.00, avg_time: 5.68 ms, avg-memory: 3429.71 KB, runs: 1000
instance042.gr: cost: 626.00, avg_time: 5.82 ms, avg-memory: 3554.86 KB, runs: 1000
instance043.gr: cost: 623.00, avg_time: 5.87 ms, avg-memory: 3554.36 KB, runs: 1000
instance044.gr: cost: 561.00, avg_time: 6.49 ms, avg-memory: 3559.62 KB, runs: 1000
instance045.gr: cost: 862.00, avg_time: 7.02 ms, avg-memory: 3684.23 KB, runs: 1000
instance046.gr: cost: 227.00, avg_time: 9.34 ms, avg-memory: 4198.14 KB, runs: 1000
instance047.gr: cost: 167.00, avg_time: 10.61 ms, avg-memory: 4326.50 KB, runs: 1000
instance048.gr: cost: 1604.00, avg_time: 9.90 ms, avg-memory: 4579.26 KB, runs: 1000
instance049.gr: cost: 1653.00, avg_time: 10.71 ms, avg-memory: 4576.41 KB, runs: 1000
instance050.gr: cost: 2155.00, avg_time: 15.23 ms, avg-memory: 5477.75 KB, runs: 1000
instance051.gr: cost: 69.00, avg_time: 14.32 ms, avg-memory: 4309.69 KB, runs: 1000
instance052.gr: cost: 26.00, avg_time: 37.45 ms, avg-memory: 5182.44 KB, runs: 1000
instance053.gr: cost: 1100377.00, avg_time: 4.60 ms, avg-memory: 3139.47 KB, runs: 1000
instance054.gr: cost: 1100209.00, avg_time: 4.58 ms, avg-memory: 3142.43 KB, runs: 1000
instance055.gr: cost: 315.00, avg_time: 4.70 ms, avg-memory: 3175.99 KB, runs: 1000
instance056.gr: cost: 307.00, avg_time: 4.73 ms, avg-memory: 3172.34 KB, runs: 1000
instance057.gr: cost: 376.00, avg_time: 4.80 ms, avg-memory: 3169.59 KB, runs: 1000
instance058.gr: cost: 408.00, avg_time: 4.91 ms, avg-memory: 3169.96 KB, runs: 1000
instance059.gr: cost: 574.00, avg_time: 4.84 ms, avg-memory: 3166.22 KB, runs: 1000
instance060.gr: cost: 488.00, avg_time: 5.03 ms, avg-memory: 3174.38 KB, runs: 1000
instance061.gr: cost: 350.00, avg_time: 5.13 ms, avg-memory: 3173.09 KB, runs: 1000
instance062.gr: cost: 504.00, avg_time: 5.17 ms, avg-memory: 3291.34 KB, runs: 1000
