instance001.gr: cost: 2288.00, avg_time: 3.91 ms, avg-memory: 3037.26 KB, runs: 1000
instance002.gr: cost: 11398.00, avg_time: 6.39 ms, avg-memory: 4196.76 KB, runs: 1000
instance003.gr: cost: 8395.00, avg_time: 7.06 ms, avg-memory: 4193.82 KB, runs: 1000
instance004.gr: cost: 4335.00, avg_time: 9.35 ms, avg-memory: 4301.00 KB, runs: 1000
instance005.gr: cost: 2509.00, avg_time: 23.05 ms, avg-memory: 5064.72 KB, runs: 1000
instance006.gr: cost: 2288.00, avg_time: 3.91 ms, avg-memory: 3046.27 KB, runs: 1000
instance007.gr: cost: 5379.00, avg_time: 3.94 ms, avg-memory: 3169.29 KB, runs: 1000
instance008.gr: cost: 14030.00, avg_time: 4.16 ms, avg-memory: 3170.33 KB, runs: 1000
instance009.gr: cost: 2425.00, avg_time: 3.81 ms, avg-memory: 3041.31 KB, runs: 1000
instance010.gr: cost: 7215.00, avg_time: 3.95 ms, avg-memory: 3046.93 KB, runs: 1000
instance011.gr: cost: 71.00, avg_time: 3.99 ms, avg-memory: 3041.79 KB, runs: 1000
instance012.gr: cost: 5324.00, avg_time: 3.98 ms, avg-memory: 3167.38 KB, runs: 1000
instance013.gr: cost: 63228.00, avg_time: 4.62 ms, avg-memory: 3303.22 KB, runs: 1000
instance014.gr: cost: 63255.00, avg_time: 4.54 ms, avg-memory: 3299.25 KB, runs: 1000
instance015.gr: cost: 63402.00, avg_time: 4.59 ms, avg-memory: 3300.42 KB, runs: 1000
instance016.gr: cost: 63351.00, avg_time: 4.56 ms, avg-memory: 3294.09 KB, runs: 1000
instance017.gr: cost: 63044.00, avg_time: 4.55 ms, avg-memory: 3300.98 KB, runs: 1000
instance018.gr: cost: 59724.00, avg_time: 5.84 ms, avg-memory: 3431.21 KB, runs: 1000
instance019.gr: cost: 59970.00, avg_time: 5.79 ms, avg-memory: 3428.76 KB, runs: 1000
instance020.gr: cost: 59708.00, avg_time: 5.82 ms, avg-memory: 3422.78 KB, runs: 1000
instance021.gr: cost: 59764.00, avg_time: 5.79 ms, avg-memory: 3426.52 KB, runs: 1000
instance022.gr: cost: 59722.00, avg_time: 5.90 ms, avg-memory: 3431.54 KB, runs: 1000
instance023.gr: cost: 54883.00, avg_time: 60.83 ms, avg-memory: 8259.57 KB, runs: 763
instance024.gr: cost: 54810.00, avg_time: 60.81 ms, avg-memory: 8259.52 KB, runs: 823
instance025.gr: cost: 54913.00, avg_time: 60.47 ms, avg-memory: 8258.35 KB, runs: 827
instance026.gr: cost: 54877.00, avg_time: 60.32 ms, avg-memory: 8260.24 KB, runs: 821
instance027.gr: cost: 517.00, avg_time: 3.90 ms, avg-memory: 3040.59 KB, runs: 1000
instance028.gr: cost: 944.00, avg_time: 4.00 ms, avg-memory: 3169.48 KB, runs: 1000
instance029.gr: cost: 1050.00, avg_time: 4.05 ms, avg-memory: 3173.32 KB, runs: 1000
instance030.gr: cost: 1881.00, avg_time: 4.12 ms, avg-memory: 3173.50 KB, runs: 1000
instance031.gr: cost: 1781.00, avg_time: 4.19 ms, avg-memory: 3166.15 KB, runs: 1000
instance032.gr: cost: 14074.00, avg_time: 4.21 ms, avg-memory: 3172.44 KB, runs: 1000
instance033.gr: cost: 1882.00, avg_time: 4.18 ms, avg-memory: 3173.92 KB, runs: 1000
instance034.gr: cost: 3212.00, avg_time: 4.43 ms, avg-memory: 3298.58 KB, runs: 1000
instance035.gr: cost: 3712.00, avg_time: 4.43 ms, avg-memory: 3303.82 KB, runs: 1000
instance036.gr: cost: 3723.00, avg_time: 4.53 ms, avg-memory: 3294.83 KB, runs: 1000
instance037.gr: cost: 4688.00, avg_time: 4.60 ms, avg-memory: 3427.45 KB, runs: 1000
instance038.gr: cost: 34893.00, avg_time: 4.85 ms, avg-memory: 3431.13 KB, runs: 1000
instance039.gr: cost: 5218.00, avg_time: 4.79 ms, avg-memory: 3427.95 KB, runs: 1000
instance040.gr: cost: 5948.00, avg_time: 4.89 ms, avg-memory: 3554.44 KB, runs: 1000
instance041.gr: cost: 5333.00, avg_time: 4.89 ms, avg-memory: 3429.52 KB, runs: 1000
instance042.gr: cost: 5413.00, avg_time: 4.95 ms, avg-memory: 3531.43 KB, runs: 1000
instance043.gr: cost: 5153.00, avg_time: 4.89 ms, avg-memory: 3426.57 KB, runs: 1000
instance044.gr: cost: 5883.00, avg_time: 5.05 ms, avg-memory: 3557.86 KB, runs: 1000
instance045.gr: cost: 7333.00, avg_time: 5.49 ms, avg-memory: 3682.43 KB, runs: 1000
instance046.gr: cost: 11956.00, avg_time: 6.38 ms, avg-memory: 4197.22 KB, runs: 1000
instance047.gr: cost: 8428.00, avg_time: 7.07 ms, avg-memory: 4187.53 KB, runs: 1000
instance048.gr: cost: 16918.00, avg_time: 7.07 ms, avg-memory: 4448.92 KB, runs: 1000
instance049.gr: cost: 18020.00, avg_time: 7.26 ms, avg-memory: 4584.71 KB, runs: 1000
instance050.gr: cost: 30628.00, avg_time: 8.90 ms, avg-memory: 5475.28 KB, runs: 1000
instance051.gr: cost: 4352.00, avg_time: 9.33 ms, avg-memory: 4301.49 KB, runs: 1000
instance052.gr: cost: 2508.00, avg_time: 22.87 ms, avg-memory: 5069.94 KB, runs: 1000
instance053.gr: cost: 1100511.00, avg_time: 3.94 ms, avg-memory: 3151.68 KB, runs: 1000
instance054.gr: cost: 1100400.00, avg_time: 3.96 ms, avg-memory: 3146.22 KB, runs: 1000
instance055.gr: cost: 1094.00, avg_time: 4.00 ms, avg-memory: 3172.12 KB, runs: 1000
instance056.gr: cost: 1199.00, avg_time: 4.09 ms, avg-memory: 3173.74 KB, runs: 1000
