instance001.gr: cost: 565.00, avg_time: 4.19 ms, avg-memory: 3043.35 KB, runs: 1000
instance002.gr: cost: 174.00, avg_time: 6.76 ms, avg-memory: 4197.48 KB, runs: 1000
instance003.gr: cost: 160.00, avg_time: 7.15 ms, avg-memory: 4196.07 KB, runs: 1000
instance004.gr: cost: 81.00, avg_time: 9.60 ms, avg-memory: 4304.83 KB, runs: 1000
instance005.gr: cost: 28.00, avg_time: 23.86 ms, avg-memory: 5064.19 KB, runs: 1000
instance006.gr: cost: 557.00, avg_time: 4.20 ms, avg-memory: 3045.99 KB, runs: 1000
instance007.gr: cost: 1768.00, avg_time: 4.13 ms, avg-memory: 3175.52 KB, runs: 1000
instance008.gr: cost: 3031.00, avg_time: 4.43 ms, avg-memory: 3172.08 KB, runs: 1000
instance009.gr: cost: 1115.00, avg_time: 4.00 ms, avg-memory: 3045.07 KB, runs: 1000
instance010.gr: cost: 3950.00, avg_time: 4.17 ms, avg-memory: 3046.77 KB, runs: 1000
instance011.gr: cost: 26.00, avg_time: 4.10 ms, avg-memory: 3045.89 KB, runs: 1000
instance012.gr: cost: 2286.00, avg_time: 4.28 ms, avg-memory: 3170.98 KB, runs: 1000
instance013.gr: cost: 8890.00, avg_time: 4.95 ms, avg-memory: 3305.87 KB, runs: 1000
instance014.gr: cost: 9779.00, avg_time: 4.98 ms, avg-memory: 3304.70 KB, runs: 1000
instance015.gr: cost: 6752.00, avg_time: 4.90 ms, avg-memory: 3303.81 KB, runs: 1000
instance016.gr: cost: 8951.00, avg_time: 5.08 ms, avg-memory: 3299.01 KB, runs: 1000
instance017.gr: cost: 6731.00, avg_time: 5.00 ms, avg-memory: 3304.15 KB, runs: 1000
instance018.gr: cost: 8650.00, avg_time: 6.25 ms, avg-memory: 3433.24 KB, runs: 1000
instance019.gr: cost: 8832.00, avg_time: 6.25 ms, avg-memory: 3432.74 KB, runs: 1000
instance020.gr: cost: 7444.00, avg_time: 6.21 ms, avg-memory: 3426.76 KB, runs: 1000
instance021.gr: cost: 8848.00, avg_time: 6.23 ms, avg-memory: 3427.36 KB, runs: 1000
instance022.gr: cost: 7455.00, avg_time: 6.18 ms, avg-memory: 3428.96 KB, runs: 1000
instance023.gr: cost: 7085.00, avg_time: 62.52 ms, avg-memory: 8259.63 KB, runs: 800
instance024.gr: cost: 6667.00, avg_time: 62.17 ms, avg-memory: 8257.62 KB, runs: 795
instance025.gr: cost: 6195.00, avg_time: 62.29 ms, avg-memory: 8260.71 KB, runs: 803
instance026.gr: cost: 6269.00, avg_time: 62.40 ms, avg-memory: 8258.23 KB, runs: 802
instance027.gr: cost: 330.00, avg_time: 4.06 ms, avg-memory: 3042.63 KB, runs: 1000
instance028.gr: cost: 526.00, avg_time: 4.16 ms, avg-memory: 3169.28 KB, runs: 1000
instance029.gr: cost: 629.00, avg_time: 4.24 ms, avg-memory: 3170.43 KB, runs: 1000
instance030.gr: cost: 1136.00, avg_time: 4.28 ms, avg-memory: 3169.65 KB, runs: 1000
instance031.gr: cost: 647.00, avg_time: 4.34 ms, avg-memory: 3175.70 KB, runs: 1000
instance032.gr: cost: 3711.00, avg_time: 4.30 ms, avg-memory: 3170.45 KB, runs: 1000
instance033.gr: cost: 934.00, avg_time: 4.39 ms, avg-memory: 3172.30 KB, runs: 1000
instance034.gr: cost: 1636.00, avg_time: 4.70 ms, avg-memory: 3296.78 KB, runs: 1000
instance035.gr: cost: 1738.00, avg_time: 4.75 ms, avg-memory: 3298.72 KB, runs: 1000
instance036.gr: cost: 1755.00, avg_time: 4.75 ms, avg-memory: 3296.49 KB, runs: 1000
instance037.gr: cost: 1685.00, avg_time: 5.08 ms, avg-memory: 3425.64 KB, runs: 1000
instance038.gr: cost: 4944.00, avg_time: 5.32 ms, avg-memory: 3428.15 KB, runs: 1000
instance039.gr: cost: 2781.00, avg_time: 5.29 ms, avg-memory: 3429.77 KB, runs: 1000
instance040.gr: cost: 1814.00, avg_time: 5.28 ms, avg-memory: 3554.91 KB, runs: 1000
instance041.gr: cost: 2458.00, avg_time: 5.28 ms, avg-memory: 3431.46 KB, runs: 1000
instance042.gr: cost: 1855.00, avg_time: 5.31 ms, avg-memory: 3534.10 KB, runs: 1000
instance043.gr: cost: 3302.00, avg_time: 5.31 ms, avg-memory: 3430.97 KB, runs: 1000
instance044.gr: cost: 3335.00, avg_time: 5.51 ms, avg-memory: 3551.44 KB, runs: 1000
instance045.gr: cost: 3875.00, avg_time: 5.74 ms, avg-memory: 3682.64 KB, runs: 1000
instance046.gr: cost: 528.00, avg_time: 6.82 ms, avg-memory: 4198.09 KB, runs: 1000
instance047.gr: cost: 315.00, avg_time: 7.07 ms, avg-memory: 4199.95 KB, runs: 1000
instance048.gr: cost: 8733.00, avg_time: 7.25 ms, avg-memory: 4452.96 KB, runs: 1000
instance049.gr: cost: 7885.00, avg_time: 7.43 ms, avg-memory: 4579.21 KB, runs: 1000
instance050.gr: cost: 7582.00, avg_time: 9.20 ms, avg-memory: 5477.09 KB, runs: 1000
instance051.gr: cost: 183.00, avg_time: 9.66 ms, avg-memory: 4301.79 KB, runs: 1000
instance052.gr: cost: 41.00, avg_time: 24.23 ms, avg-memory: 5067.04 KB, runs: 1000
instance053.gr: cost: 1100408.00, avg_time: 4.08 ms, avg-memory: 3148.53 KB, runs: 1000
instance054.gr: cost: 1100241.00, avg_time: 4.06 ms, avg-memory: 3154.52 KB, runs: 1000
instance055.gr: cost: 575.00, avg_time: 4.17 ms, avg-memory: 3169.68 KB, runs: 1000
instance056.gr: cost: 777.00, avg_time: 4.23 ms, avg-memory: 3173.25 KB, runs: 1000
instance057.gr: cost: 714.00, avg_time: 4.36 ms, avg-memory: 3169.90 KB, runs: 1000
instance058.gr: cost: 914.00, avg_time: 4.35 ms, avg-memory: 3175.82 KB, runs: 1000
instance059.gr: cost: 1207.00, avg_time: 4.39 ms, avg-memory: 3171.82 KB, runs: 1000
instance060.gr: cost: 807.00, avg_time: 4.61 ms, avg-memory: 3172.61 KB, runs: 1000
instance061.gr: cost: 1086.00, avg_time: 4.67 ms, avg-memory: 3170.62 KB, runs: 1000
instance062.gr: cost: 1131.00, avg_time: 4.72 ms, avg-memory: 3276.43 KB, runs: 1000
instance063.gr: cost: 1630.00, avg_time: 4.92 ms, avg-memory: 3302.84 KB, runs: 1000
instance064.gr: cost: 1274.00, avg_time: 4.77 ms, avg-memory: 3341.80 KB, runs: 1000
instance065.gr: cost: 2072.00, avg_time: 4.96 ms, avg-memory: 3430.97 KB, runs: 1000
instance066.gr: cost: 1939.00, avg_time: 5.27 ms, avg-memory: 3429.30 KB, runs: 1000
instance067.gr: cost: 15842.00, avg_time: 8.42 ms, avg-memory: 4838.04 KB, runs: 1000
instance068.gr: cost: 1200249.00, avg_time: 4.19 ms, avg-memory: 3047.10 KB, runs: 1000
instance069.gr: cost: 4988.00, avg_time: 3.92 ms, avg-memory: 3042.34 KB, runs: 1000
instance070.gr: cost: 37.00, avg_time: 3.98 ms, avg-memory: 3046.70 KB, runs: 1000
instance071.gr: cost: 777.00, avg_time: 4.17 ms, avg-memory: 3172.48 KB, runs: 1000
instance072.gr: cost: 3847.00, avg_time: 4.60 ms, avg-memory: 3170.09 KB, runs: 1000
instance073.gr: cost: 861.00, avg_time: 4.69 ms, avg-memory: 3174.31 KB, runs: 1000
instance074.gr: cost: 2200.00, avg_time: 4.88 ms, avg-memory: 3298.96 KB, runs: 1000
instance075.gr: cost: 8142.00, avg_time: 5.35 ms, avg-memory: 3431.42 KB, runs: 1000
instance076.gr: cost: 4972.00, avg_time: 6.16 ms, avg-memory: 3810.18 KB, runs: 1000
instance077.gr: cost: 13608.00, avg_time: 6.80 ms, avg-memory: 3945.66 KB, runs: 1000
instance078.gr: cost: 3318.00, avg_time: 6.94 ms, avg-memory: 4453.10 KB, runs: 1000
instance079.gr: cost: 5414.00, avg_time: 7.99 ms, avg-memory: 4966.24 KB, runs: 1000
instance080.gr: cost: 6107.00, avg_time: 8.22 ms, avg-memory: 5090.09 KB, runs: 1000
instance081.gr: cost: 1300850.00, avg_time: 4.33 ms, avg-memory: 3042.87 KB, runs: 1000
instance082.gr: cost: 812.00, avg_time: 4.39 ms, avg-memory: 3173.70 KB, runs: 1000
instance083.gr: cost: 1097.00, avg_time: 4.65 ms, avg-memory: 3167.33 KB, runs: 1000
instance084.gr: cost: 1300590.00, avg_time: 4.41 ms, avg-memory: 3175.59 KB, runs: 1000
instance085.gr: cost: 34.00, avg_time: 4.44 ms, avg-memory: 3177.63 KB, runs: 1000
instance086.gr: cost: 7777.00, avg_time: 4.41 ms, avg-memory: 3171.63 KB, runs: 1000
instance087.gr: cost: 44.00, avg_time: 4.37 ms, avg-memory: 3170.26 KB, runs: 1000
instance088.gr: cost: 1817.00, avg_time: 5.10 ms, avg-memory: 3428.71 KB, runs: 1000
instance089.gr: cost: 2392.00, avg_time: 5.30 ms, avg-memory: 3469.82 KB, runs: 1000
instance090.gr: cost: 2924.00, avg_time: 5.49 ms, avg-memory: 3557.06 KB, runs: 1000
instance091.gr: cost: 3604.00, avg_time: 5.78 ms, avg-memory: 3687.61 KB, runs: 1000
instance092.gr: cost: 1400290.00, avg_time: 4.37 ms, avg-memory: 3174.97 KB, runs: 1000
instance093.gr: cost: 1546.00, avg_time: 4.42 ms, avg-memory: 3172.05 KB, runs: 1000
instance094.gr: cost: 1400369.00, avg_time: 4.42 ms, avg-memory: 3167.71 KB, runs: 1000
instance095.gr: cost: 807.00, avg_time: 4.69 ms, avg-memory: 3301.20 KB, runs: 1000
instance096.gr: cost: 1554.00, avg_time: 4.67 ms, avg-memory: 3297.86 KB, runs: 1000
instance097.gr: cost: 2387.00, avg_time: 5.54 ms, avg-memory: 3595.21 KB, runs: 1000
instance098.gr: cost: 1500441.00, avg_time: 4.17 ms, avg-memory: 3170.77 KB, runs: 1000
instance099.gr: cost: 1500486.00, avg_time: 4.20 ms, avg-memory: 3172.68 KB, runs: 1000
instance100.gr: cost: 1600285.00, avg_time: 4.34 ms, avg-memory: 3168.22 KB, runs: 1000
instance101.gr: cost: 1601404.00, avg_time: 4.57 ms, avg-memory: 3173.67 KB, runs: 1000
instance102.gr: cost: 1051.00, avg_time: 4.64 ms, avg-memory: 3211.84 KB, runs: 1000
instance103.gr: cost: 1249.00, avg_time: 4.45 ms, avg-memory: 3278.48 KB, runs: 1000
